Country_Name,fertility,W15_to_44,gdp,Alcohol_Cons,pml,Guaranteed,unem,Density,urbanization,Mean_BMI_women,Mean_BMI_men,Access_Degree,Social_Support,Freedom_of_choices,Age_at_1st_Child,Divorce_Percent
Aruba,1.896,36.91413978,25630.26649,6.814136378,2,1,7.7,588.0277778,43.411,26.75453166,25.990732,0,,,,
Afghanistan,4.473,44.4942521,520.8966027,0.2,1,0,11.11800003,56.93776001,25.495,24.23413457,22.68245614,1,0.517,0,,
Angola,5.519,42.18433733,3432.385736,6.4,1,0,6.886000156,24.71305206,65.514,24.37650146,22.43653817,2,,,,
Albania,1.617,41.27947713,5268.848504,7.5,4,1,12.33100033,104.6122628,60.319,26.50751203,27.17447081,4,0.848,0.383,24.5,24.36
Andorra,1.27,36.121924,42029.76274,11.3,2,1,1.7,163.8425532,88.062,26.27166071,27.47839497,0,,,32.9,
United Arab Emirates,1.413,62.14459456,43004.95336,3.8,1,0,2.34800005,135.6091101,86.522,29.63816231,28.18800439,1,1.31,0.598,20.9,25
Argentina,2.261,43.50488135,11683.94962,9.8,1,1,9.788999557,16.2585101,91.87,27.79858856,28.01768234,2,1.432,0.471,,
Armenia,1.755,42.52201177,4212.070943,5.5,4,1,16.98999977,103.6802248,63.149,27.19451321,25.74388941,4,1.055,0.283,24.8,16.67
American Samoa,2.57,44.78260962,11466.69071,2.113835896,0,0,20,277.325,87.153,35.14886463,33.0667207,2,,,,
Antigua and Barbuda,1.994,44.5821551,16726.98081,7,1,0,11,218.8318182,24.599,27.96185992,25.82569643,1,,,,
Australia,1.74,40.18355713,57395.91947,10.6,2,1,5.268000126,3.24787091,86.012,26.87308177,27.71849093,4,1.548,0.557,28.7,43.48
Austria,1.47,36.46866348,51499.88536,11.6,4,0,4.673999786,107.1279669,58.297,24.74923974,26.67288696,4,1.475,0.532,29.3,35.29
Azerbaijan,1.73,46.42961644,4722.381679,0.8,4,1,5.508999825,120.234668,55.68,28.15375814,26.24688161,4,1.147,0.351,23.8,15.46
